property_name,GEOID,INTPTLAT,INTPTLON,geometry
ALLEN'S GARAGE,45005970300,+33.0551986,-081.2151634,-81.22211|33.035902
Greenville Furniture Company,45045002303,+34.8728159,-082.4105209,-82.405132|34.870209
5041 Durant Avenue,45019003400,+32.8958105,-079.9746618,-79.9786|32.887174
Former Coal Tipple Site,45019005400,+32.8200646,-079.9429888,-79.94536|32.822491
Tiger Pride Automotive,45077011102,+34.7109098,-082.7563613,-82.786294|34.718148
VILLAGE INN,45005970200,+33.0356436,-081.4486751,-81.300078|33.015613
Hartness Property,45045002303,+34.8728159,-082.4105209,-82.405065|34.878915
League Property,45045002302,+34.8811322,-082.4173125,-82.406814|34.88717
Barnett Property,45045002303,+34.8728159,-082.4105209,-82.407017|34.871323
Henley Site,45045001000,+34.8606403,-082.4002483,-82.404211|34.867391
League (VACANT) Property,45045002304,+34.8877798,-082.3940491,-82.404963|34.886572
Spinning Mill Site,45045002303,+34.8728159,-082.4105209,-82.411462|34.872928
Furman Hall Property,45045002304,+34.8877798,-082.3940491,-82.404079|34.881736
Tatham Property,45047970400,+34.1698568,-082.2054546,-82.166113|34.18885
Carriage House,45059920700,+34.4682270,-081.9191816,-81.88127|34.474803
Henry's Cleaners,45081960201,+33.9955697,-081.8669890,-81.773557|34.000302
Knight Industries Mill,45081960202,+33.9835560,-081.7334123,-81.771457|33.998278
West Washington Street Property,45045000900,+34.8607575,-082.4098233,-82.41215|34.857469
Ware Street Property,45045000700,+34.8504139,-082.4126907,-82.41249|34.84359
Nichol Street Property,45045004300,+34.8417160,-082.3753525,-82.382697|34.840877
"Oscar, Nassau, and Meadow St Property",45045000700,+34.8504139,-082.4126907,-82.408965|34.852549
Shirley and West Washington Street Property,45045000900,+34.8607575,-082.4098233,-82.411037|34.856815
21 3rd St Property,45045000800,+34.8493143,-082.4271138,-82.429199|34.851497
Oscar and Meadow St,45045000700,+34.8504139,-082.4126907,-82.411664|34.854276
City of Lake City Wastewater Site,45041002202,+33.8389294,-079.7194929,-79.750606|33.875014
Brown Park,45025950600,+34.5951251,-079.8967144,-79.87891|34.688592
Bluland LLC,45025950600,+34.5951251,-079.8967144,-79.883816|34.690973
McBride's Quality Cleaners,45025950600,+34.5951251,-079.8967144,-79.879967|34.693162
City Park Wetlands,45045000700,+34.8504139,-082.4126907,-82.411932|34.855192
Former Cheraw Recycling Center,45025950600,+34.5951251,-079.8967144,-79.879233|34.692731
Pee Dee Ice & Fuel,45025950600,+34.5951251,-079.8967144,-79.877996|34.697004
Second and Duvall Street,45025950600,+34.5951251,-079.8967144,-79.8843|34.698822
Second & Kershaw Street,45025950600,+34.5951251,-079.8967144,-79.885481|34.700557
Chesterfield Highway Tract,45025950502,+34.7080062,-079.9249608,-79.934215|34.699753
Cheraw Community Center,45025950502,+34.7080062,-079.9249608,-79.887713|34.703103
American House Spinning,45077011102,+34.7109098,-082.7563613,-82.788353|34.717393
Central Garage,45077011102,+34.7109098,-082.7563613,-82.784716|34.72171
Riverside School,45081960202,+33.9835560,-081.7334123,-81.755876|34.008457
Former Fox Theater (Nicklodeon),45079003100,+34.0078902,-081.0307786,-81.036491|34.007959
Former Main and Taylor Shoes Site,45079003100,+34.0078902,-081.0307786,-81.036491|34.007959
Palmetto Compress & Warehouse Building,45079002900,+33.9936414,-081.0372080,-81.039788|33.993116
1209 Franklin Street,45079000700,+34.0177977,-081.0406649,-81.040416|34.016746
1113 Lady Street & 1306 Assembly Street,45079003100,+34.0078902,-081.0307786,-81.034761|34.003933
601 CATAWBA STREET SITE,45079002800,+33.9821485,-081.0333383,-81.036936|33.986378
Central Concrete & Plaster,45083022201,+34.9833807,-081.8364339,-81.844788|34.991536
Central Laundromat,45077011102,+34.7109098,-082.7563613,-82.785726|34.72036
Lake City Plaza,45041002201,+33.8669969,-079.7884800,-79.755454|33.877623
Strickland's Dixie Cleaners,45029970500,+32.9053462,-080.6718142,-80.661891|32.902126
Coastal Lumber,45029970500,+32.9053462,-080.6718142,-80.689704|32.930009
Short Stop 3,45029970500,+32.9053462,-080.6718142,-80.689704|32.930009
Quality Stitching,45081960201,+33.9955697,-081.8669890,-81.852082|34.037157
116 North Church Street Property,45041002202,+33.8389294,-079.7194929,-79.752424|33.871673
Former Rizer Ford Dealership,45029970500,+32.9053462,-080.6718142,-80.666093|32.903057
Fairfax Dimensions,45005970400,+32.8745690,-081.3241455,-81.237029|32.958861
Pelzer Mill Disposal Site,45007010300,+34.6570078,-082.4929075,-82.460817|34.651925
St. Gobain Property,45019003900,+32.8491452,-080.0158790,-80.00871|32.842144
Post and Courier Property II,45019001000,+32.7919285,-079.9443325,-79.941809|32.79349
Former Office Building,45081960202,+33.9835560,-081.7334123,-81.7716|34.001734
Saluda Market Consignments,45081960202,+33.9835560,-081.7334123,-81.771961|34.001704
Saluda Theatre,45081960202,+33.9835560,-081.7334123,-81.77117|34.00138
1211 Pendleton St Site,45045000800,+34.8493143,-082.4271138,-82.427237|34.846533
Colleton County Downtown Properties,45029970500,+32.9053462,-080.6718142,-80.668259|32.903333
Chester Pavilion,45023020200,+34.7003242,-081.2195686,-81.214153|34.704875
Republic Mill 1,45023021000,+34.5721311,-080.9053042,-80.902026|34.575908
Old York Road Property,45023020400,+34.7811483,-081.2137768,-81.196697|34.756126
8547 W Washington St,45045000200,+34.8478319,-082.3974862,-82.399242|34.850677
"2428,-2434 Main Street and 1204 Confederate Ave",45079000700,+34.0177977,-081.0406649,-81.041082|34.018823
Pelzer Riverfront,45007010300,+34.6570078,-082.4929075,-82.458052|34.655282
Former BI-LO Shopping Center,45055970800,+34.2226390,-080.5951484,-80.617334|34.245068
Gardner Property,45055970500,+34.2954753,-080.6158639,-80.616764|34.245815
Gardner Property,45055970800,+34.2226390,-080.5951484,-80.616764|34.245815
Section of Old River Road,45055970800,+34.2226390,-080.5951484,-80.615205|34.24556
Great Falls Rail Trail,45023021000,+34.5721311,-080.9053042,-80.898142|34.568973
2222 Main Street,45079000700,+34.0177977,-081.0406649,-81.039647|34.014997
1-15 Meadow St.,45045000700,+34.8504139,-082.4126907,-82.408926|34.852508
111 Welborn,45045000700,+34.8504139,-082.4126907,-82.411835|34.852249
East North Street,45045001204,+34.8590533,-082.3681784,-82.371085|34.860925
S. Academy at Wardlaw St.,45045000700,+34.8504139,-082.4126907,-82.407659|34.8471
S. Academy at N. Calhoun,45045000700,+34.8504139,-082.4126907,-82.414021|34.846328
N. Pleasantburg at Laurens Rd.,45045001302,+34.8343593,-082.3606077,-82.362461|34.842894
206 Scarlett St.,45045001900,+34.8200676,-082.3474849,-82.368926|34.82889
Broad St. Parking Garage,45045000200,+34.8478319,-082.3974862,-82.397598|34.848583
Imperial Tobacco Warehouse,45041002201,+33.8669969,-079.7884800,-79.756198|33.86936
20 Chesterfield Highway,45025950600,+34.5951251,-079.8967144,-79.898024|34.68995
Janice Circle Tract,45025950501,+34.7620024,-079.9701003,-79.960394|34.708778
Buffalo Mill,45087030400,+34.7566760,-081.6377010,-81.678331|34.721733
Pie's Country Kitchen,45087030600,+34.6087329,-081.4943191,-81.462509|34.593233
4525 King Kennedy Street,45087030600,+34.6087329,-081.4943191,-81.468793|34.593201
Former Porter Street Manufacturing Site,45087030200,+34.7080486,-081.6317056,-81.620199|34.709501
Reedy View Drive Property,45045003010,+34.7569276,-082.2476429,-82.252532|34.740116
Former Woodside Mill Property,45045002201,+34.8682367,-082.4358816,-82.425062|34.85645
Former Pickens Rail Depot,45077010502,+34.9029715,-082.6597995,-82.702512|34.883802
Former Mixson Service Station,45005970200,+33.0356436,-081.4486751,-81.313638|33.004986
Farmer's Grain &amp; Supply Development Tract,45005970300,+33.0551986,-081.2151634,-81.209839|33.096395
Town of Allendale Former Hotel,45005970200,+33.0356436,-081.4486751,-81.307907|33.009072
Isham's Grocery,45005970400,+32.8745690,-081.3241455,-81.233736|32.961501
Allendale County Nursing Home,45005970200,+33.0356436,-081.4486751,-81.311633|33.022757
Fairfax Community Building,45005970400,+32.8745690,-081.3241455,-81.240077|32.96094
Town of Allendale Commercial Buildings,45005970200,+33.0356436,-081.4486751,-81.308413|33.008404
Regions Bank,45003021300,+33.5673561,-081.7526423,-81.719061|33.560024
Public Health Building,45077011101,+34.7346996,-082.8081851,-82.781946|34.724728
Central Roller Mill,45077011101,+34.7346996,-082.8081851,-82.787371|34.723865
Chiquola Mill,45007011500,+34.4662024,-082.4055574,-82.392412|34.45137
Brinkley Station,45003022100,+33.3147374,-081.8384557,-81.781609|33.324106
Rock Hill Feed and Seed,45091060300,+34.9144554,-081.0197342,-81.013971|34.921681
Springsteen Mill,45023020300,+34.7207553,-081.2148403,-81.207642|34.705626
National Fence Site,45091060501,+34.9325443,-081.0382008,-81.034602|34.934582
RiverPlace Phase III,45045000200,+34.8478319,-082.3974862,-82.403559|34.847237
Warren Plant,45003020400,+33.5687354,-081.8385837,-81.807141|33.567896
Red Barn Property,45003020400,+33.5687354,-081.8385837,-81.807402|33.569977
Anderson University,45007012300,+34.5134656,-082.6052554,-82.624245|34.506565
United Housing ConnectionsSite,45045002302,+34.8811322,-082.4173125,-82.413439|34.877298
109 West Stone Avenue,45045001000,+34.8606403,-082.4002483,-82.396539|34.861507
The Station @ Five Points,45079003000,+34.0011753,-081.0215931,-81.020456|34.005381
Former Gettys Middle School,45077010804,+34.8226519,-082.5830564,-82.58255|34.831371
139 West Main Street Property,45077010402,+34.9027375,-082.7107738,-82.70828|34.883698
Former Springs Industries Mill,45057010200,+34.5820726,-080.5578749,-80.580352|34.548383
219 Hampton Street,45091060501,+34.9325443,-081.0382008,-81.027396|34.924267
215 Hampton Street,45091060501,+34.9325443,-081.0382008,-81.027396|34.924267
Raille Street Properties,45091061602,+34.9921871,-081.2207561,-81.237243|34.998745
NE Main Street at N A Street,45077010802,+34.8426672,-082.5770296,-82.601798|34.831135
Council on Aging,45003021400,+33.5732059,-081.7228476,-81.730018|33.566072
Birt Properties,45019003700,+32.8671057,-079.9825338,-79.988205|32.867028
Greenway - N. Pleasantburg Dr. to Millennium Blvd,45045002811,+34.8066326,-082.3037438,-82.324955|34.81393
Corner of Haywood and Halton Rds.,45045004400,+34.8479697,-082.3501653,-82.345827|34.836736
322 Meadow St.,45045000700,+34.8504139,-082.4126907,-82.411664|34.854276
Hampton Street Utility Alley,45091060501,+34.9325443,-081.0382008,-81.025852|34.924693
Poinsett Highway Site,45045002701,+34.9392993,-082.3924602,-82.37784|34.920902
ARG Properties,45045000800,+34.8493143,-082.4271138,-82.423692|34.851846
Former Commercial Printer,45045001000,+34.8606403,-082.4002483,-82.404211|34.867391
Greenville Goodwill,45045002304,+34.8877798,-082.3940491,-82.404463|34.882381
Aiken Landfill,45003021601,+33.5657978,-081.6608854,-81.698935|33.573633
Jackson Petroleum Co,45003021400,+33.5732059,-081.7228476,-81.708027|33.556302
SCE&amp;G Crew Quarters Photos,45003021400,+33.5732059,-081.7228476,-81.708307|33.569006
Lyman Mills #2,45083023102,+34.9459973,-082.1019723,-82.122845|34.946643
"1200, 1202, 1204 Laurens Rd",45045004400,+34.8479697,-082.3501653,-82.368811|34.847335
American Thread,45091061801,+35.1252818,-081.2174193,-81.224488|35.11588
Holley House,45003021300,+33.5673561,-081.7526423,-81.722242|33.560096
Sweat Properties,45029970402,+32.9671267,-080.6527418,-80.667708|32.911468
Former DHEC Building,45041002201,+33.8669969,-079.7884800,-79.756542|33.872377
Wentworth Building,45041002202,+33.8389294,-079.7194929,-79.748687|33.864973
Vacant Building - South Acline,45041002201,+33.8669969,-079.7884800,-79.754846|33.872749
139 Sauls Street,45041002202,+33.8389294,-079.7194929,-79.754153|33.873244
118 Sauls Street,45041002202,+33.8389294,-079.7194929,-79.754036|33.873552
116 Sauls Street,45041002202,+33.8389294,-079.7194929,-79.754036|33.873552
152 E Main Street,45041002202,+33.8389294,-079.7194929,-79.753516|33.872186
148 E Main Street,45033970500,+34.3339068,-079.2077718,-79.166027|34.343174
138 E Main Street,45041002202,+33.8389294,-079.7194929,-79.75335|33.872045
134 E Main Street,45033970500,+34.3339068,-079.2077718,-79.166027|34.343174
145 Sauls Street,45041002202,+33.8389294,-079.7194929,-79.753837|33.873351
121 S Acline Street,45041002202,+33.8389294,-079.7194929,-79.756289|33.865728
133A E Main Street,45041002202,+33.8389294,-079.7194929,-79.753987|33.872537
410 W Main Street,45041002201,+33.8669969,-079.7884800,-79.768933|33.877907
127 E Main Street,45033970500,+34.3339068,-079.2077718,-79.166027|34.343174
342 S Ron McNair Blvd,45041002201,+33.8669969,-079.7884800,-79.761207|33.871202
131 Sauls Street,45041002202,+33.8389294,-079.7194929,-79.754153|33.873244
127 Sauls Street,45041002202,+33.8389294,-079.7194929,-79.754153|33.873244
207 John Street,45041002201,+33.8669969,-079.7884800,-79.757243|33.874071
137 S McAlister Street,45041002201,+33.8669969,-079.7884800,-79.756104|33.874197
124 E Main Street,45033970500,+34.3339068,-079.2077718,-79.166027|34.343174
103 W Main Street,45041002202,+33.8389294,-079.7194929,-79.75427|33.872761
202 Kelley Street,45041002201,+33.8669969,-079.7884800,-79.754561|33.876787
Arcade Textile Mill / Parcel 1,45091060502,+34.9213349,-081.0520735,-81.041164|34.925535
Cotton Factory,45091060501,+34.9325443,-081.0382008,-81.027243|34.930165
Printing and Finishing Co.,45091060501,+34.9325443,-081.0382008,-81.031889|34.93308
Rock Hill Body Company,45091060501,+34.9325443,-081.0382008,-81.036723|34.932463
Health-Tex,45083022202,+34.9887462,-081.7972162,-81.813635|35.023909
Norfolk Southern Railroad Property,45007012300,+34.5134656,-082.6052554,-82.649957|34.500426
Anderson Mill,45007012300,+34.5134656,-082.6052554,-82.649957|34.500426
Pickens Railway property,45007012300,+34.5134656,-082.6052554,-82.649957|34.500426
Unisphere Chemical Company,45083022202,+34.9887462,-081.7972162,-81.802606|35.016465
Lyman W Astewater Treatment Plant,45083023102,+34.9459973,-082.1019723,-82.123594|34.947969
Yemassee Chipper/Shredder Site,45049920300,+32.7268667,-080.9155997,-80.866905|32.701345
Elkay Industries,45055970500,+34.2954753,-080.6158639,-80.602891|34.269433
Walter Farms Bird Seed Co.,45037970300,+33.7963576,-081.7706297,-81.802835|33.829393
Bibb Company,45017950100,+33.7420117,-080.9452527,-80.964421|33.792458
Gossett Street,45007011902,+34.4625078,-082.6216538,-82.647232|34.477249
Lake Conestee,45045002901,+34.7895220,-082.3456019,-82.348253|34.770082
National Fence Company,45091061201,+34.9106162,-080.9614516,-80.979731|34.904345
Arkwright Mill,45075010900,+33.5692930,-080.9216953,-80.952355|33.609305
Bomar Avenue Dump,45075010900,+33.5692930,-080.9216953,-80.952355|33.609305
Page Property,45075010900,+33.5692930,-080.9216953,-80.952355|33.609305
North Street Dump,45083021200,+34.9509248,-081.9167596,-81.929944|34.950945
Mitchell Property,45075010900,+33.5692930,-080.9216953,-80.952355|33.609305
Shelton Warehouse,45087030600,+34.6087329,-081.4943191,-81.445967|34.595905
Moss Justice Center,45091061502,+34.9727579,-081.1916550,-81.205151|34.984201
Lancaster Belk Building,45057010900,+34.7385541,-080.7834700,-80.785751|34.738979
Greenville Transit Authority (GTA),45045001000,+34.8606403,-082.4002483,-82.400685|34.856422
301 Pendleton Street,45045002202,+34.8547583,-082.4401273,-82.441871|34.848051
CSX Rail Line/Swamp Rabbit,45045001000,+34.8606403,-082.4002483,-82.400685|34.856422
700/706 Green Avenue,45045002108,+34.8289154,-082.4158114,-82.414879|34.833153
Mills Mill,45045001000,+34.8606403,-082.4002483,-82.400685|34.856422
Hilton Displays,45045000200,+34.8478319,-082.3974862,-82.39992|34.848148
Viola Street,45045001000,+34.8606403,-082.4002483,-82.400894|34.860128
Spring/McBee,45045000200,+34.8478319,-082.3974862,-82.39992|34.848148
Howard Properties,45045000500,+34.8376715,-082.4115284,-82.413306|34.835702
Washington School,45045000200,+34.8478319,-082.3974862,-82.399242|34.850677
Additional CSX Rail Line,45045001000,+34.8606403,-082.4002483,-82.400685|34.856422
C&C Garage,45045000200,+34.8478319,-082.3974862,-82.39992|34.848148
700 East Stone Avenue,45045001205,+34.8631405,-082.3765112,-82.384782|34.857927
Charleston County Landfill,45075010900,+33.5692930,-080.9216953,-80.952355|33.609305
Metal Trades,45019005400,+32.8200646,-079.9429888,-79.947672|32.834815
Carriggs Seafood,45019004400,+32.8305580,-079.9619676,-79.952325|32.816411
Charleston Oil Company,45019005400,+32.8200646,-079.9429888,-79.952113|32.823944
Oil City Garage,45019001000,+32.7919285,-079.9443325,-79.947141|32.793234
Mount Pleasant Street Texaco Service Station,45019001500,+32.8070997,-079.9522715,-79.953824|32.812292
1766 Meeting Street,45019005400,+32.8200646,-079.9429888,-79.951472|32.825717
1797 King Street Extension,45019005400,+32.8200646,-079.9429888,-79.952113|32.823944
Williams Grocery,45007000700,+34.4939131,-082.6616905,-82.653571|34.496711
Morehead Oil Bulk Plant,45071950502,+34.3098563,-081.6453407,-81.623758|34.294829
Alicia Automotive,45045003303,+34.6918423,-082.3925094,-82.399008|34.672588
Henry Wilson Station,45061920302,+34.1505544,-080.2166106,-80.163415|34.105048
Princes Grocery,45087030700,+34.6214610,-081.7049843,-81.763837|34.649035
Bucks Grocery,45055970700,+34.1764818,-080.5520579,-80.475983|34.186658
Interstate Truck Terminal,45005970300,+33.0551986,-081.2151634,-81.213601|33.095655
Rohde Shop-Rite,45029970500,+32.9053462,-080.6718142,-80.663201|32.893609
Bobby Jones Grocery,45055970800,+34.2226390,-080.5951484,-80.60042|34.241639
Nickelpumper 233,45053950202,+32.5364880,-080.8861724,-80.87939|32.631135
Garret's Service Station Property,45059920400,+34.4928213,-082.0269534,-82.024139|34.506542
Carolina Milling Property,45059920400,+34.4928213,-082.0269534,-82.014517|34.498343
Hall Property,45059920400,+34.4928213,-082.0269534,-82.01004|34.498377
Todd Property,45059920400,+34.4928213,-082.0269534,-82.010368|34.499114
Arkwright Mills,45083020900,+34.9352379,-081.9329353,-81.930345|34.927014
Big D's Restaurant,45019001500,+32.8070997,-079.9522715,-79.954722|32.812297
NAPA Auto Parts Store,45059920400,+34.4928213,-082.0269534,-82.014526|34.499889
Laurens Cleaners,45059920400,+34.4928213,-082.0269534,-82.014048|34.499936
Campbells Service Center,45003022100,+33.3147374,-081.8384557,-81.791317|33.326921
Bush Recycling,45041000800,+34.2077391,-079.7472420,-79.76644|34.203478
Tals Quick Shop,45043920201,+33.4085413,-079.4854138,-79.560132|33.468711
C H Ragsdale Grocery,45039960100,+34.4273558,-081.3174179,-81.400723|34.418446
Lloyd Cannadys Place,45065920300,+33.7542930,-082.1999073,-82.202371|33.753754
White's Convenience Store,45053950100,+32.5531475,-081.0749103,-81.159255|32.60043
Schumperts Store,45071950601,+34.1917033,-081.5448551,-81.507274|34.216902
Summers Store,45039960500,+34.2860838,-081.1792971,-81.125878|34.292996
Former Oakland Avenue Station,45091060501,+34.9325443,-081.0382008,-81.024386|34.931084
Seminole Mill,45003021002,+33.5044854,-081.9155699,-81.892059|33.497033
Republic Mill #1,45023021000,+34.5721311,-080.9053042,-80.891195|34.5647
Former BC Components,45079010407,+34.0504530,-081.0900867,-81.102676|34.050551
Cook Street Landfill (Sumter Inert),45085001500,+33.9057056,-080.3508863,-80.358221|33.906426
Town Center Mall 1.8 Acre Site 3b,45091060300,+34.9144554,-081.0197342,-81.012292|34.920621
Dick's Motor Service (NAPA Building),45005970300,+33.0551986,-081.2151634,-81.231766|33.03599
Safety Disposal Systems Storage Properties,45049920200,+32.8590563,-081.0106074,-81.109175|32.874181
Columbia College Parcels A & B,45079000200,+34.0408728,-081.0377278,-81.03324|34.046071
Olympia 1,45079002800,+33.9821485,-081.0333383,-81.033259|33.985993
Olympia 2,45079002800,+33.9821485,-081.0333383,-81.037763|33.985382
104 Rutherford Street,45045000900,+34.8607575,-082.4098233,-82.404803|34.859861
331 South Hudson Street,45045000700,+34.8504139,-082.4126907,-82.409888|34.85052
40 Rutherford Street,45045001000,+34.8606403,-082.4002483,-82.404197|34.859152
Rhodes Properties,45091060501,+34.9325443,-081.0382008,-81.029669|34.929124
Melton Properties,45091060501,+34.9325443,-081.0382008,-81.028288|34.928349
Givens Property,45091060501,+34.9325443,-081.0382008,-81.027804|34.928141
Fewell Property,45091060501,+34.9325443,-081.0382008,-81.027804|34.928141
Drake St. Property,45079011603,+33.9850728,-080.9522562,-80.958554|33.982517
Former SDS Medical Waste Incinerator Site,45049920200,+32.8590563,-081.0106074,-81.098466|32.871226
Feed and Seed Site,45091060300,+34.9144554,-081.0197342,-81.013971|34.921681
Oakland Ave Site,45091060501,+34.9325443,-081.0382008,-81.024248|34.927037
Randy's Auto Parts,45009960100,+33.3261599,-081.1667580,-81.14354|33.326351
Republic Mill #2,45023021000,+34.5721311,-080.9053042,-80.89527|34.570723
159 Welborn Street,45045000700,+34.8504139,-082.4126907,-82.413675|34.853017
1006 W. Washington Street,45045000900,+34.8607575,-082.4098233,-82.41215|34.857469
Springs Parking Lot,45091060501,+34.9325443,-081.0382008,-81.029096|34.928968
Former Williams Cotton Warehouse,45091060501,+34.9325443,-081.0382008,-81.024645|34.928504
Presto Property,45091060501,+34.9325443,-081.0382008,-81.029333|34.929812
Hilton Property,45091060501,+34.9325443,-081.0382008,-81.029142|34.929451
Pendleton Street Property,45079001300,+34.0080154,-081.0131624,-81.014153|34.005469
Former Wellington Leisure Products,45087030800,+34.8417937,-081.6902672,-81.685397|34.83451
5112 Julius Dixon Lane,45079010600,+34.0595573,-081.0263513,-81.039406|34.052056
Toxaway Mill,45007012300,+34.5134656,-082.6052554,-82.629474|34.502065
Pee Dee Community Action /Casten McDaniel Property,45041000900,+34.2077622,-079.7859632,-79.765866|34.201032
Chicora Tank Farm Property,45019004300,+32.8501669,-079.9673955,-79.966047|32.846452
Former Greenwood Mills Foundry,45047970800,+34.1118770,-082.1861034,-82.143541|34.169018
Former Freight Depot Property,45047970500,+34.1960292,-082.1475885,-82.159769|34.190417
Bluffton Landfill,45013002106,+32.2494167,-080.9091717,-80.911547|32.231077
Wildcat Creek at Arcade Textile Mill / Parcel 2,45091060502,+34.9213349,-081.0520735,-81.041164|34.925535
McAbee Property,45083021500,+34.9800448,-081.9284454,-81.935725|34.986774
